sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors,alt,az
64927,35/20240819145436,35,847.9907407407406,1.0,240.0,3328.0,0.013824,60541.62253871109,287.8087817797037,-63.0864117184137,0.8933849715099714,21.0,256.0,9.0,287.9072696617895,-63.17020169642508,closepack36,0.9,920.5,8,847.9907407407406,1087.9907407407406,1562.2328737627304,closepack36_0.9_920MHz,0.8721959494934213,0.8444189360323622,0.8146717551793567,46.006271999999996,0.6000047502730931,27.60398174235599,967.9907407407406,1.0233233710359553,51.09749508133184,194.807292347916
64928,00/20240819150134,35,791.9907407407406,1.0,240.0,3584.0,0.013824,60541.627360471095,294.69853284009093,-64.35502954915644,0.914781746031746,22.0,256.0,9.0,294.85427500000003,-64.45510797289313,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.8749358963440695,0.8750385237975271,49.545215999999996,0.6677554998592216,33.0840904757131,911.9907407407406,1.019124032789025,50.98376479744832,190.63479433638383
64928,01/20240819150513,35,791.9907407407406,1.0,240.0,3584.0,0.013824,60541.62989999109,293.0291907157616,-63.60299403040773,0.9212880291005292,22.0,256.0,9.0,293.1782390058027,-63.7029301678174,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.8842867999248143,0.8750385237975271,49.545215999999996,0.6748921567512142,33.43767768294476,911.9907407407406,1.019124032789025,51.194288425656005,192.77711295818705
64928,02/20240819150852,35,791.9907407407406,1.0,240.0,4096.0,0.013824,60541.63231663109,296.37681553958527,-63.60650520708312,0.9332899305555554,22.0,256.0,9.0,296.5303109941973,-63.7029301678174,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9016227683381072,0.8750385237975271,56.623104,0.6881230554967489,38.96366333619018,911.9907407407406,1.019124032789025,51.65743448909234,191.1923262528729
64928,03/20240819151231,35,791.9907407407406,1.0,240.0,4096.0,0.013824,60541.634849751084,294.706982665748,-62.87377511840239,0.935648148148148,22.0,256.0,9.0,294.85427500000003,-62.970225360440224,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9050422286203391,0.8750385237975271,56.623104,0.690732804873305,39.11143544655285,911.9907407407406,1.019124032789025,51.82439931898168,193.3977866805458
64928,04/20240819151610,35,791.9907407407406,1.0,240.0,4096.0,0.013824,60541.63750191109,294.6889375297052,-65.83636838080699,0.9443142361111112,22.0,256.0,9.0,294.85427500000003,-65.94048957662132,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9176452173952171,0.8750385237975271,56.623104,0.7003514696283505,39.65607410131893,911.9907407407406,1.019124032789025,48.99450860676322,191.8492693675869
64928,05/20240819151959,35,791.9907407407406,1.0,240.0,3584.0,0.013824,60541.64015023109,292.9270713823941,-65.08351902240904,0.9385664682539682,22.0,256.0,9.0,293.0848592984397,-65.1873915020834,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9092798173494805,0.8750385237975271,49.545215999999996,0.6939669540170874,34.382742633638664,911.9907407407406,1.019124032789025,49.11075028390756,193.90537932989184
64928,06/20240819152338,35,791.9907407407406,1.0,240.0,3840.0,0.013824,60541.64260783108,291.2632895700581,-64.31158225165751,0.9415200617283952,22.0,256.0,9.0,291.4138636251922,-64.41512326519711,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9135753384363338,0.8750385237975271,53.08416,0.6972453174291876,37.01268198966178,911.9907407407406,1.019124032789025,49.165882626636446,195.95093269225129
64928,07/20240819152717,35,791.9907407407406,1.0,240.0,3584.0,0.013824,60541.645216471086,289.6905242815257,-63.52198859046014,0.9379298941798944,22.0,256.0,9.0,289.8342356761103,-63.62512899400524,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9083549082128751,0.8750385237975271,49.545215999999996,0.6932610586875907,34.34776889706536,911.9907407407406,1.019124032789025,49.14001097388248,198.0253795454589
64928,08/20240819153056,35,791.9907407407406,1.0,240.0,4096.0,0.013824,60541.64763951108,291.446792736272,-62.83256603942391,0.9471354166666665,22.0,256.0,9.0,291.5894318204972,-62.93228191917717,square_6x6,1.05,864.5,8,791.9907407407406,1031.9907407407406,1301.324892219497,square_6x6_1.05_864MHz,0.8721959494934213,0.9217605457796854,0.8750385237975271,56.623104,0.703492309058917,39.8339181790432,911.9907407407406,1.019124032789025,49.92605440579502,198.22117948772456
