,Unnamed: 0,sbid,scan,nbeam,fch1,foff,nchans,nsamples,tsamp,tstart,srcra,srcdec,goodfrac,nant,ndm,trigger_threshold,pointra,pointdec,footprint,pitch,obsfreq,maxwidth,fmin,fmax,maxdm,obsconfig,w_bandwidth,w_goodfrac,w_nant,tobs,w_tot,t_eff,fbar,bfactors
1047,1047,68261,00/20241120021608,36,887.9907407407406,1.0,144.0,30720.0,0.003456,60634.09562159109,153.13324291666666,12.317241456743297,0.9137437734093689,22.0,700.0,12.0,153.13324291666663,12.323379972222222,square_6x6,1.05,864.5,7,887.9907407407406,1031.9907407407406,1770.6495819233946,square_6x6_1.05_864MHz,0.5946035575013605,0.8734471775639451,0.8750385237975271,106.16832,0.4544554567045378,48.24877235315351,959.9907407407406,0.9780166813525476
1048,1048,68262,00/20241120022703,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.10321839109,302.008751475491,-63.87009704845884,0.7310683588047683,21.0,700.0,12.0,301.9848572686922,-63.91017706211133,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6250819834916624,0.8146717551793567,65.47046399999999,0.3027939157455558,19.824058160238444,1015.9907407407406,0.9667727302397073
1049,1049,68262,01/20241120023042,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.105751511095,300.4390007939994,-63.30120335948774,0.7351742917233639,21.0,700.0,12.0,300.4156140005009,-63.34003799309465,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6303553856569134,0.8146717551793567,65.47046399999999,0.3053483872118394,19.99130059241079,1015.9907407407406,0.9667727302397073
1050,1050,68262,02/20241120023451,36,943.9907407407406,1.0,144.0,10496.0,0.003456,60634.108621271094,298.9323563530563,-62.71561680550821,0.7315505480629892,21.0,700.0,12.0,298.90956136910376,-62.753236047315866,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6257005115169596,0.8146717551793567,36.274176,0.3030935348798843,10.99446822869506,1015.9907407407406,0.9667727302397073
1051,1051,68262,03/20241120023801,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.11082415109,297.486100333571,-62.11427741086238,0.7335549355507853,21.0,700.0,12.0,297.46396107199644,-62.15071345326363,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6282738229959949,0.8146717551793567,65.47046399999999,0.3043400642628264,19.92528522107706,1015.9907407407406,0.9667727302397073
1052,1052,68262,04/20241120024139,36,943.9907407407406,1.0,144.0,19200.0,0.003456,60634.11334703109,296.0974974285225,-61.49804642656644,0.7350833594553755,21.0,700.0,12.0,296.07606027783385,-61.53333291316237,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6302384381391073,0.8146717551793567,66.3552,0.3052917370478795,20.25769427015945,1015.9907407407406,0.9667727302397073
1053,1053,68262,05/20241120024508,36,943.9907407407406,1.0,144.0,24832.0,0.003456,60634.1157713511,294.7638278288523,-60.86770960840349,0.7259574386171369,21.0,700.0,12.0,294.74312437184994,-60.901881011395645,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6185385038095895,0.8146717551793567,85.819392,0.299624210190344,25.71356754701553,1015.9907407407406,0.9667727302397073
1054,1054,68262,06/20241120024907,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.11853871109,300.08068493593044,-64.18554315891737,0.7252213557959001,21.0,700.0,12.0,300.0554684974612,-64.22586284142756,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6175979938463213,0.8146717551793567,65.47046399999999,0.299168620840312,19.58670842065529,1015.9907407407406,0.9667727302397073
1055,1055,68262,07/20241120025246,36,943.9907407407406,1.0,144.0,19200.0,0.003456,60634.121060311096,298.5340213521384,-63.59603325073028,0.7186298386059671,21.0,700.0,12.0,298.5094883825781,-63.63505191361299,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6091971581409329,0.8146717551793567,66.3552,0.2950991995388683,19.58136640524151,1015.9907407407406,0.9667727302397073
1056,1056,68262,08/20241120025625,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.12360367109,297.05201324771923,-62.99054886544856,0.7241598796876304,21.0,700.0,12.0,297.02823240067505,-63.02830363586272,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6162425616663672,0.8146717551793567,65.47046399999999,0.2985120403786527,19.543721793177127,1015.9907407407406,0.9667727302397073
1057,1057,68262,09/20241120030004,36,943.9907407407406,1.0,144.0,16896.0,0.003456,60634.1262199911,295.6315873016269,-62.37001451996279,0.7166144888007681,21.0,700.0,12.0,295.6086069155971,-62.40654398004176,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6066362760511614,0.8146717551793567,58.392576,0.2938586910356586,17.159165949560215,1015.9907407407406,0.9667727302397073
1058,1058,68262,10/20241120030343,36,943.9907407407406,1.0,144.0,22016.0,0.003456,60634.12866479109,294.2696981681159,-61.7352716877403,0.7289203530989806,21.0,700.0,12.0,294.24754961178525,-61.77061516431522,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6223291090627507,0.8146717551793567,76.087296,0.3014604048623436,22.93730705704098,1015.9907407407406,0.9667727302397073
1059,1059,68262,11/20241120030732,36,943.9907407407406,1.0,144.0,19456.0,0.003456,60634.13130927109,292.9633578301938,-61.08708307288493,0.7276800898006011,21.0,700.0,12.0,292.9420584817623,-61.12128006871252,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6207414386215913,0.8146717551793567,67.239936,0.3006913266254269,20.21846555804881,1015.9907407407406,0.9667727302397073
1060,1060,68262,12/20241120031111,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.13386031109,299.7001003695304,-65.06895892117512,0.7082686934981858,21.0,700.0,12.0,299.67284719918155,-65.11085434993456,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.5960697312371621,0.8146717551793567,65.47046399999999,0.2887401856801537,18.903953931925816,1015.9907407407406,0.9667727302397073
1061,1061,68262,13/20241120031450,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.13639215109,298.11116767827764,-64.47516267064483,0.7008575856944184,21.0,700.0,12.0,298.08470778785033,-64.5156617761818,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.5867386096493719,0.8146717551793567,65.47046399999999,0.2842201276421946,18.608023634873707,1015.9907407407406,0.9667727302397073
1062,1062,68262,14/20241120031829,36,943.9907407407406,1.0,144.0,22016.0,0.003456,60634.13892527109,296.59160804644824,-63.865158863252105,0.7372538073460605,21.0,700.0,12.0,296.56601477315786,-63.90430459733028,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6330318130173066,0.8146717551793567,76.087296,0.3066448666210445,23.331778733475932,1015.9907407407406,0.9667727302397073
1063,1063,68262,15/20241120032218,36,943.9907407407406,1.0,144.0,18688.0,0.003456,60634.14158767108,295.1379541725664,-63.23994081930948,0.7300606206167819,21.0,700.0,12.0,295.1132772440333,-63.27777755342964,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6237899664375931,0.8146717551793567,64.585728,0.3021680539972674,19.51574374575683,1015.9907407407406,0.9667727302397073
1064,1064,68262,16/20241120032557,36,943.9907407407406,1.0,144.0,2048.0,0.003456,60634.14410159109,293.746783383778,-62.60041014477331,0.6940473014925733,21.0,700.0,12.0,293.72305305794407,-62.63698286180645,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.5782073459957671,0.8146717551793567,7.077888,0.2800875261656601,1.982428140397612,1015.9907407407406,0.9667727302397073
1065,1065,68262,17/20241120032936,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.146655191085,292.4147507326528,-61.94738186888382,0.6618210210536057,21.0,700.0,12.0,292.3919814308257,-61.982735519615616,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.538407171446085,0.8146717551793567,65.47046399999999,0.2608080540043646,17.07522431060281,1015.9907407407406,0.9667727302397073
1066,1066,68262,18/20241120033315,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.149172951096,297.6610887579249,-65.35308946498849,0.6763123189921694,21.0,700.0,12.0,297.63248539473756,-65.39515808732021,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.5561871453919763,0.8146717551793567,65.47046399999999,0.269420792933197,17.63910432458433,1015.9907407407406,0.9667727302397073
1067,1067,68262,19/20241120033704,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.151827671085,296.1020764219358,-64.7381675452194,0.7254498455975507,21.0,700.0,12.0,296.07447630286214,-64.77878326182656,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6178898894649256,0.8146717551793567,65.47046399999999,0.2993100170406191,19.59596569549724,1015.9907407407406,0.9667727302397073
1068,1068,68262,20/20241120034043,36,943.9907407407406,1.0,144.0,18688.0,0.003456,60634.154371031094,294.6137398008492,-64.10786237608517,0.734486706825797,21.0,700.0,12.0,294.58719314572363,-64.14707637933367,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6294712657467,0.8146717551793567,64.585728,0.3049201135826641,19.693487517579047,1015.9907407407406,0.9667727302397073
1069,1069,68262,21/20241120034422,36,943.9907407407406,1.0,144.0,19200.0,0.003456,60634.15689263109,293.1922170104177,-63.463140563830734,0.7381254722061472,21.0,700.0,12.0,293.16675168340555,-63.50100445126213,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6341548075275624,0.8146717551793567,66.3552,0.3071888527126315,20.383577759517205,1015.9907407407406,0.9667727302397073
1070,1070,68262,22/20241120034801,36,943.9907407407406,1.0,144.0,19200.0,0.003456,60634.15942575109,291.8337502255043,-62.80487320001131,0.6922508359053496,21.0,700.0,12.0,291.80937619036604,-62.84143825460711,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.5759638595344683,0.8146717551793567,66.3552,0.2790007662389954,18.51315164394179,1015.9907407407406,0.9667727302397073
1071,1071,68262,23/20241120035140,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.161966551095,290.5347123591639,-62.133842146000866,0.7487516508207427,21.0,700.0,12.0,290.5114254753274,-62.16915878615483,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6478980746690572,0.8146717551793567,65.47046399999999,0.3138461837233021,20.547655272993833,1015.9907407407406,0.9667727302397073
1072,1072,68262,24/20241120035528,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.164613591085,297.18066066356016,-66.22988512802317,0.7249776835755026,21.0,700.0,12.0,297.14966466907623,-66.27362144959241,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6172867533580396,0.8146717551793567,65.47046399999999,0.2990178538550616,19.57683763617507,1015.9907407407406,0.9667727302397073
1073,1073,68262,25/20241120035907,36,943.9907407407406,1.0,144.0,19200.0,0.003456,60634.167139031095,295.5801931889617,-65.60961884120815,0.6786575279706792,21.0,700.0,12.0,295.55036428894937,-65.65179116897691,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.5590826387333329,0.8146717551793567,66.3552,0.2708233893765422,17.970540166758333,1015.9907407407406,0.9667727302397073
1074,1074,68262,26/20241120040246,36,943.9907407407406,1.0,144.0,18944.0,0.003456,60634.16969263109,294.0556777084562,-64.97379709211586,0.7177103963501262,21.0,700.0,12.0,294.02706522704545,-65.01446469080419,closepack36,0.9,920.5,7,943.9907407407406,1087.9907407407406,2101.4898996410175,closepack36_0.9_920MHz,0.5946035575013605,0.6080283872783314,0.8146717551793567,65.47046399999999,0.2945330390744128,19.283214731531935,1015.9907407407406,0.9667727302397073
